Date,Confirmed,Recovered,Deceased
31-01-2020,0,0,0
01-02-2020,0,0,0
02-02-2020,1,0,0
03-02-2020,1,0,0
04-02-2020,0,0,0
05-02-2020,0,0,0
06-02-2020,0,0,0
07-02-2020,0,0,0
08-02-2020,0,0,0
09-02-2020,0,0,0
10-02-2020,0,0,0
11-02-2020,0,0,0
12-02-2020,0,0,0
13-02-2020,0,0,0
14-02-2020,0,0,0
15-02-2020,0,0,0
16-02-2020,0,0,0
17-02-2020,0,0,0
18-02-2020,0,0,0
19-02-2020,0,0,0
20-02-2020,0,0,0
21-02-2020,0,0,0
22-02-2020,0,0,0
23-02-2020,0,0,0
24-02-2020,0,0,0
25-02-2020,0,0,0
26-02-2020,0,0,0
27-02-2020,0,0,0
28-02-2020,0,0,0
29-02-2020,0,0,0
01-03-2020,0,0,0
02-03-2020,0,0,0
03-03-2020,0,0,0
04-03-2020,0,0,0
05-03-2020,0,0,0
06-03-2020,0,0,0
07-03-2020,0,0,0
08-03-2020,0,0,0
09-03-2020,6,6,0
10-03-2020,8,8,0
11-03-2020,0,0,0
12-03-2020,2,2,0
13-03-2020,3,3,0
14-03-2020,0,0,0
15-03-2020,2,2,0
16-03-2020,3,3,0
17-03-2020,0,0,0
18-03-2020,0,0,0
19-03-2020,1,1,0
20-03-2020,12,12,0
21-03-2020,12,12,0
22-03-2020,15,15,0
23-03-2020,28,28,0
24-03-2020,14,14,0
25-03-2020,9,9,0
26-03-2020,19,19,0
27-03-2020,39,3,0
28-03-2020,6,8,1
29-03-2020,20,4,0
30-03-2020,32,0,0
31-03-2020,7,4,1
01-04-2020,24,2,0
02-04-2020,21,2,0
03-04-2020,9,14,0
04-04-2020,11,8,0
05-04-2020,8,6,0
06-04-2020,13,3,0
07-04-2020,8,12,0
08-04-2020,9,13,0
09-04-2020,12,13,0
10-04-2020,7,27,0
11-04-2020,10,19,0
12-04-2020,2,36,0
13-04-2020,3,19,0
14-04-2020,8,13,0
15-04-2020,1,7,0
16-04-2020,7,27,0
17-04-2020,1,10,0
18-04-2020,4,2,0
19-04-2020,2,13,0
20-04-2020,6,21,0
21-04-2020,19,16,0
22-04-2020,11,1,0
23-04-2020,10,8,0
24-04-2020,3,15,1
25-04-2020,7,7,0
26-04-2020,11,4,0
27-04-2020,13,13,0
28-04-2020,4,4,0
29-04-2020,10,10,0
30-04-2020,2,14,0
01-05-2020,0,9,0
02-05-2020,2,8,0
